138290629|others|7499
815238183222800386|male|5480
76647722|male|2469
1058682229168103427|male|1806
3254919834|female|1644
995514804432326656|bot|1581
842014209109970944|bot|1525
998773589372321792|male|1477
861072368956973057|bot|1455
3302135329|news|1351
996597372531625984||1348
839039853702455296|bot|1100
936384570647179264|male|1027
1066779906086850563||826
1092365221853724672||815
993740924101345280|male|801
121640063|news|662
1111187598846746625||607
180696019|female|591
2371357657|male|580
47976374|male|548
853064883788632064||537
1038259342745559040||536
47274731|news|535
319499439||533
158278197|news|529
982080509483220992||501
4520912296|male|498
863214112787972096|female|484
1067969569556324352||468
930151027814285312|male|460
885304778565206016|bot|459
980155441597464576|male|452
939189655261528064|male|429
1000348782125502465||421
1652365195|others|420
1026738847651049472|male|417
69183155|female|414
18071520|male|405
986159088|male|404
710566116553166849|female|402
456426648|female|397
154102750|news|397
122028263|male|396
1093043253564235776||394
2754383112|male|393
998838878193635328|bot|388
889300959968378880|male|384
1103541743427829760||377
968428811107819521|news|353
966259715331170304|bot|352
759692754985242625|male|352
349276378|male|351
823858795021410304|others|350
18129942|news|347
728269694994538496|female|346
944551919514615809|male|346
23343960|news|346
1014760493662330880|male|342
996945092723204096||342
1029619078002958336||341
1071464784392900608||339
1027100452616171520|male|337
932761959291748352|male|335
20963426|news|330
990237626|others|328
964567431262887936|others|327
800312861582995456|male|325
22126902|others|324
1085539597583446017||321
3245141677|male|320
862618051719516160|news|319
924645606643003392|male|316
1107895894131662849||315
78909305|male|315
88352716|news|315
3908639473|male|314
765770149861453825|male|309
789658466377883648|male|301
4026079994||299
1027042113110724609|female|299
46693036|bot|299
1041902492638822400||293
338314080|male|292
1089765323597701120||290
1085541457597853697||287
1008243161188069377|male|287
3905502624|male|286
1037948808427003904||284
2872998758|female|282
913559635788931072||282
280981318|male|282
891126806|male|281
846715204637376513|bot|278
972357839279673344|male|276
79130206|female|274
60637169|male|273
829928763374784513|male|272
1117698319310966785||272
48990686|male|271
