|4|0|2|6
100003484203094|1|1|0|2
100000562068724|0|1|0|1
100001069543341|2|0|0|2
100006750662559|0|0|1|1
100005157545750|0|1|2|3
100000533010167|1|0|0|1
100006376306702|0|0|1|1
100021458705544|0|0|1|1
1684360541|1|0|0|1
100002654499006|2|0|5|7
100003787138827|0|1|0|1
100000008460897|0|0|1|1
100021479230454|1|0|0|1
100001474600929|1|0|0|1
100013580201107|1|1|0|2
100013179585265|7|1|0|8
100003482989019|0|2|0|2
100027260537493|0|1|0|1
100000351286462|0|0|1|1
100014987020747|1|1|0|2
100005522708805|0|1|0|1
100003322378292|1|1|0|2
100022265522163|0|0|1|1
100006425788151|3|0|3|6
100001485174217|0|0|1|1
100026819913431|0|0|3|3
100030692703945|0|0|1|1
100022726280814|1|0|1|2
100002525691290|1|0|2|3
100005644634110|0|0|1|1
1027604065|1|0|0|1
100002295528403|1|0|1|2
100015252150406|1|0|0|1
100008312340971|0|1|0|1
100009234949822|0|1|1|2
100036731857627|0|0|1|1
100032554324826|0|0|1|1
100013085014945|0|2|0|2
100012882966486|0|0|1|1
100014736784948|0|1|1|2
100009726485966|1|0|0|1
1740148353|1|0|0|1
100019947790439|1|0|3|4
100000357520423|1|0|0|1
100000870069550|0|1|0|1
100014136855969|0|1|0|1
100009470746365|1|1|0|2
100007766076221|0|1|4|5
100021511607486|0|0|1|1
100000373728789|1|0|0|1
100005276281091|0|0|1|1
100033177857582|0|0|1|1
1831765923|0|0|1|1
100027438520007|0|0|1|1
100006829993538|7|1|5|13
100001177381877|0|1|0|1
100000008470635|0|0|6|6
100022447222146|3|0|0|3
100006593291541|0|2|0|2
1681764883|0|1|1|2
100022472861476|0|0|1|1
100009022398234|0|0|2|2
100014518668712|2|1|0|3
1655178900|0|0|1|1
100026073036018|0|0|1|1
100005243071775|0|0|1|1
1568546778|2|1|5|8
100000545427197|1|0|0|1
100026788592495|0|1|0|1
100000713851083|4|6|10|20
100009232917792|1|0|0|1
1342211811|0|1|0|1
100000092522991|1|0|0|1
100000520185840|0|0|1|1
100014896174480|1|0|0|1
100023956620385|3|6|7|16
100035451820543|0|1|0|1
100007310174214|0|0|2|2
100002818186217|0|0|1|1
100024906675582|0|1|0|1
100008634019366|0|1|0|1
100001531486685|1|4|3|8
100022367064303|0|0|1|1
100007305581367|0|1|0|1
100010308798438|0|0|2|2
692893764|1|0|0|1
100011515415271|0|1|0|1
100002891143466|0|0|1|1
100005428219452|0|1|0|1
100001951925880|1|1|0|2
100030499025999|0|1|0|1
100001154713544|0|1|0|1
100011876385184|1|0|3|4
100006333870155|1|1|3|5
1178174379|0|1|0|1
100014825117943|1|1|3|5
100012781563318|0|0|1|1
100012109993982|0|1|0|1
100005223579168|0|0|1|1
100000787028892|0|1|0|1
100014681386371|0|1|0|1
100000078024893|0|1|0|1
100000100995498|0|0|1|1
100015886932860|0|0|2|2
100000620530418|0|3|1|4
100001647816528|0|0|1|1
100000945366540|3|3|5|11
525894030|0|1|4|5
100002456934197|0|0|1|1
100001408313717|0|0|2|2
100000400585536|0|0|1|1
100003273245447|0|0|2|2
100001342430435|1|0|0|1
1253817858|0|1|0|1
1361718552|0|0|1|1
100035876991622|0|0|1|1
100000412646926|0|0|1|1
100009962851735|0|0|2|2
1088202740|0|0|1|1
1527474107|0|1|0|1
100026503754271|0|0|1|1
100024688882678|0|1|0|1
100023836753308|0|0|1|1
100002271820739|1|0|3|4
100033635834007|0|0|1|1
100004057580842|0|1|0|1
100000497451862|0|1|0|1
100000402258943|1|0|0|1
100000456629290|0|1|1|2
100000010608505|0|1|0|1
100003968532847|0|0|1|1
100005062088640|1|0|0|1
100001814887304|1|0|0|1
100000200327307|1|0|0|1
100004789562167|0|2|0|2
1524885993|4|1|1|6
100003649542884|0|0|1|1
100011304967747|0|0|1|1
100011381643650|0|0|1|1
100030691270938|0|1|0|1
100033194257704|0|0|2|2
100005168347943|0|1|0|1
100015578057549|0|1|0|1
100004038511105|0|0|1|1
100014938635539|0|0|1|1
100001828702695|5|5|4|14
1345134727|0|0|1|1
100017692509878|1|0|0|1
100003586887995|0|0|1|1
100002033231826|1|0|0|1
100003467463744|1|0|0|1
834440858|0|0|1|1
100011683835245|0|0|2|2
100023439108288|0|1|0|1
100006784657462|0|0|1|1
100009626553494|0|0|1|1
100033503173172|0|1|0|1
1547644461|0|0|1|1
100002798361479|0|0|2|2
100034427240450|1|0|0|1
100006704117235|0|0|1|1
100000210204968|2|1|1|4
100000237536376|0|0|1|1
100033937772804|0|0|1|1
100027055653772|1|0|0|1
1112473875|0|1|0|1
100026893268565|0|2|0|2
100030335855214|0|0|1|1
100022742690050|0|0|1|1
1326927598|0|1|0|1
100007148585876|0|0|1|1
100003836164631|1|0|0|1
1334317877|0|0|1|1
100031497660305|1|0|0|1
100011342929146|1|2|0|3
100024842085182|0|0|1|1
100001797798318|0|0|1|1
100005907846727|0|0|1|1
100000490788817|0|0|1|1
100010386061769|0|0|1|1
100000282526032|1|1|2|4
100000226342447|0|0|1|1
100000546943361|0|2|0|2
100000970126498|0|1|1|2
100004100704953|0|0|1|1
100004448106442|0|0|1|1
100005842380090|1|0|0|1
100036097533636|0|0|1|1
100004226831134|1|1|1|3
100021884498339|0|1|0|1
100031165599173|1|1|4|6
100005758530089|0|1|0|1
100013421625149|0|0|1|1
100006734467369|0|0|1|1
100007012508950|0|0|1|1
1417792946|1|0|0|1
100018428345705|0|1|0|1
100003733202509|0|1|0|1
1503046868|0|1|1|2
100006566528128|1|1|2|4
100001321713411|0|0|1|1
100017207584655|0|1|1|2
100002709905047|1|0|0|1
100007968270781|0|0|1|1
100017023637599|0|0|1|1
100000268290826|0|0|2|2
100006504400077|0|1|0|1
100015718149756|1|0|0|1
100013580585020|0|0|1|1
100000349921009|1|2|2|5
100010902912374|0|0|1|1
100009876317847|0|0|2|2
100002094508431|1|0|0|1
100015049927955|0|1|0|1
100007896550230|0|0|2|2
100025537026216|1|1|0|2
100007195924733|0|0|1|1
100002161378405|0|0|1|1
100015186855972|0|0|1|1
100012237005594|0|1|0|1
100000342972573|0|0|1|1
100024067854070|0|0|1|1
1428490191|0|0|1|1
100003201317304|1|0|0|1
100010899641524|1|0|1|2
100025864186336|2|1|0|3
100011492982500|0|0|3|3
100029528657387|0|0|1|1
100001772984752|0|0|1|1
100022186958841|0|0|1|1
100014362501921|0|0|1|1
100014257869346|0|0|1|1
100004384904120|0|0|1|1
100001719578266|0|2|0|2
100004097895619|0|0|1|1
100008824631964|0|1|0|1
1143963203|0|0|1|1
100027544734300|1|0|0|1
100000619978176|1|1|1|3
100008816471277|0|0|2|2
100010697925249|0|0|1|1
100009158157815|2|0|2|4
100023918204169|1|0|0|1
100012482284310|0|1|0|1
100000138339893|1|0|0|1
100001945715866|0|2|0|2
100035499730549|0|0|1|1
100010360890127|0|0|1|1
1032755179|0|0|1|1
100000237201532|2|1|0|3
100000117155530|0|0|1|1
100002389670772|0|0|2|2
100023480089655|1|1|0|2
100023776153632|0|0|2|2
100033101453967|0|2|1|3
100000226920376|0|0|1|1
100002761152322|1|0|0|1
100006742507032|0|1|1|2
100003588625923|0|0|1|1
1576273385|0|0|1|1
100004022033922|1|0|0|1
100000031692727|0|1|0|1
1633882688|0|1|0|1
100001102261433|1|0|2|3
1752656021|3|0|0|3
100024237602060|0|1|2|3
100011327073818|2|0|0|2
100002166796270|0|3|0|3
100010601131188|0|0|1|1
100012086799577|0|1|0|1
1500142758|0|1|0|1
100003200636319|0|0|1|1
100002145181527|0|0|1|1
100021087460073|0|1|0|1
1402977228|1|1|1|3
100001223509465|14|2|0|16
100007778701998|0|0|1|1
100007970688521|0|0|3|3
100001504892506|1|0|0|1
100005930357095|0|2|1|3
100033925067751|0|0|1|1
100000736970198|0|1|0|1
100017537471906|0|1|0|1
1311237234|1|0|1|2
100023713894561|0|1|0|1
100003747726584|1|0|0|1
100012722850188|2|1|2|5
100005888209501|1|0|2|3
100029215249173|0|0|1|1
100000431018542|0|0|1|1
100020650386626|0|0|2|2
100024473384024|0|1|0|1
100035503381857|0|0|1|1
1799322237|0|0|1|1
100007491693479|0|1|0|1
100008807802786|1|0|0|1
100000029712781|1|0|0|1
100008358648516|1|0|0|1
100025101414165|0|0|1|1
100000195516124|1|0|0|1
100013658298310|1|0|0|1
1600145306|1|0|0|1
100033102380598|1|0|0|1
100001115281665|1|0|0|1
1504214613|1|0|0|1
100004031157156|0|1|0|1
100015477301969|1|0|0|1
1602662329|1|1|1|3
100008645773878|0|1|1|2
1580596116|0|1|0|1
100036747370276|1|0|0|1
100003272468068|0|1|0|1
100002579056661|0|3|0|3
100008450625855|1|0|0|1
100005958691027|0|0|1|1
100005235888060|0|1|0|1
100012012635552|1|0|0|1
100014655693253|0|1|1|2
100003403126849|0|9|0|9
100000177210654|1|0|0|1
100000108409679|2|3|1|6
100001692002461|1|0|0|1
1231787120|0|0|4|4
100008823335310|0|0|1|1
100018339158685|0|1|0|1
100002556797521|0|0|1|1
100028370791574|0|0|1|1
100003343766633|0|0|1|1
100023154665133|0|0|1|1
1686202045|1|0|2|3
100016093086693|1|3|1|5
100001524292555|0|0|1|1
100000825695408|0|1|0|1
100029876954193|1|0|0|1
100018570189559|0|0|1|1
1805900293|0|1|0|1
100023274900890|0|1|0|1
100005730999935|3|2|2|7
100024499434344|0|0|2|2
100003930432537|0|0|1|1
100000137610573|1|1|2|4
100004940319165|0|0|1|1
100034460953780|0|0|2|2
100006592122560|0|1|1|2
100002432601938|1|0|0|1
100000114038941|4|4|4|12
100005572877940|1|0|1|2
1596459140|0|1|0|1
100008027195678|0|0|1|1
100005918492462|0|0|1|1
100001403708380|1|0|0|1
100001363325607|0|1|0|1
100010047487903|0|1|0|1
1823336801|0|0|1|1
100011165328573|0|0|1|1
100000765304297|1|0|0|1
1821402193|0|0|1|1
100033461922810|0|1|16|17
100004449211587|0|0|2|2
100005685696113|0|0|1|1
100015752070618|1|0|0|1
100003317722555|0|0|1|1
100000294084667|0|1|0|1
100011167834329|0|1|1|2
100004730594748|0|0|2|2
789623067|0|1|0|1
100030968380279|0|0|1|1
1785232807|1|1|0|2
100003198864417|0|0|1|1
100011536933719|0|1|0|1
100013688590924|1|0|0|1
100012774341369|0|0|1|1
100021740994350|1|0|1|2
100034682942249|0|1|0|1
100002063934259|0|1|0|1
100001340746625|0|1|0|1
100002189593811|0|0|1|1
100007938000838|1|0|0|1
100000513199668|1|1|1|3
1522666874|0|1|1|2
100003820831399|1|0|0|1
100001280262747|0|1|0|1
100002026021460|0|0|1|1
100012531165245|0|0|1|1
1815576065|1|0|0|1
100006597133492|0|1|0|1
1350454464|1|0|0|1
100009644264022|1|0|0|1
100015532742193|0|0|1|1
100034056045194|1|1|1|3
100021806525613|1|0|0|1
100011842629964|0|0|1|1
100000539220220|0|0|1|1
100000067231187|0|1|0|1
100009954048096|0|0|1|1
100004134667602|1|0|1|2
100001626579009|1|0|0|1
100002460208959|0|0|1|1
100005751616874|1|1|0|2
100010978540103|0|1|1|2
100011322793334|0|0|1|1
100035871064676|0|0|1|1
100004121923969|0|0|1|1
100009097381541|1|0|1|2
100018799471322|1|0|0|1
100006407888851|1|0|0|1
100011080125642|0|1|0|1
100000353842093|0|0|1|1
1784944574|1|0|0|1
100001171962878|0|0|1|1
100001317603745|0|0|1|1
1137189730|0|0|1|1
100004487797167|0|0|1|1
100029889441515|0|1|0|1
100009062599771|0|1|0|1
100000235065197|0|1|0|1
100011062921292|0|1|0|1
100009787669184|1|0|0|1
100030475715583|1|0|0|1
100000846595549|2|0|7|9
100001007226314|1|0|2|3
100006431722777|1|0|0|1
100001985791628|0|0|1|1
100004802910067|0|0|1|1
100008773004124|2|2|2|6
100032339205289|1|0|1|2
100023565750342|0|0|2|2
100024757854222|1|0|0|1
100015609667146|1|0|0|1
755359283|0|2|0|2
100001572876300|0|2|0|2
1484200575192988|3|12|5|20
100021482180947|0|1|0|1
100001348026856|0|1|1|2
1267273277|0|1|0|1
100023561260822|2|1|1|4
100002244072789|1|1|2|4
100000055285033|2|1|0|3
1681685344|0|0|1|1
100000586765729|0|0|1|1
100000475312547|0|1|0|1
100011482507371|0|0|1|1
100011067672831|1|0|0|1
100013876664273|0|0|1|1
100000044367554|0|0|1|1
100001719679827|0|0|1|1
100024144586743|1|0|0|1
100000136574319|0|0|1|1
100001591783954|1|0|0|1
100000713047725|0|1|0|1
100031865013977|0|0|2|2
1643403816|0|0|1|1
100010443521516|0|1|0|1
100028454180663|0|0|1|1
100011398511197|0|1|0|1
1364347173|0|1|1|2
100002700790264|0|1|0|1
100007680005859|0|0|1|1
100007656103366|1|0|0|1
1604814008|0|1|0|1
1214829247|0|1|0|1
100013119543082|1|0|0|1
100015503733217|0|0|1|1
100000793980563|3|1|1|5
100006190716663|0|2|0|2
100013283102943|0|2|1|3
1801376122|0|0|1|1
100000052938695|0|0|1|1
100025567972120|1|0|0|1
100010494214903|0|0|2|2
1471475549|0|0|1|1
1542371175|0|0|1|1
653651560|0|1|0|1
100000818697544|0|2|0|2
100005983292708|1|0|0|1
100000450368028|0|2|1|3
100004947067344|1|0|0|1
1185412684|0|0|1|1
100004074556243|1|0|1|2
100007961375997|0|0|1|1
100017657320131|1|0|0|1
100000859706352|0|0|1|1
100008490428291|1|0|0|1
100000009706428|0|0|1|1
100000754525306|2|1|2|5
100024432881034|2|1|0|3
100000855172985|1|0|0|1
100019208954152|1|0|0|1
100006821193592|1|0|0|1
100004038440373|0|0|1|1
622207297|0|1|0|1
100001776622883|1|0|0|1
100001639058686|0|1|0|1
100000824494338|0|0|1|1
100033940602959|0|0|1|1
100000664620706|1|0|0|1
1691927962|0|0|1|1
1399830429|0|1|0|1
100025936656675|0|0|1|1
100000958123540|0|1|0|1
100019678893795|0|0|1|1
100000514608834|1|0|0|1
100032067515956|0|0|1|1
100009858631047|0|0|1|1
1328176799|1|0|0|1
100002266349140|0|0|1|1
100015837486027|0|1|1|2
100003206844527|1|0|0|1
100007948728649|0|1|0|1
100000281508753|1|0|1|2
100003905472132|3|2|0|5
100025324457570|0|1|0|1
100011104334592|0|1|0|1
100030332173577|0|0|1|1
100013826885611|0|1|1|2
753987808|1|0|0|1
100028021560247|0|1|0|1
100001739991731|0|0|1|1
1797911768|0|0|1|1
1150077439|0|1|1|2
100016105353160|1|0|0|1
100000974294430|0|1|0|1
100002749620047|2|1|0|3
100019421372152|0|1|0|1
100014245574945|0|0|1|1
100008338951387|1|0|0|1
100011393058530|0|0|1|1
100029128664022|0|1|0|1
100027175701991|0|0|1|1
100001032434349|0|0|1|1
1257350432|0|0|1|1
100001861285939|0|2|4|6
100013411153115|2|2|2|6
100018755554607|0|0|1|1
100026889380420|0|0|1|1
100030137541368|1|0|3|4
100032147412181|1|1|5|7
100004601494083|0|1|0|1
100004919803949|0|1|0|1
100028418738426|0|1|0|1
100032476415567|0|0|1|1
100026385698981|0|0|1|1
100030408083820|0|1|1|2
1241614135|0|2|0|2
100000175655291|0|1|0|1
100002243287578|0|1|0|1
100015301716292|0|0|1|1
100007583290931|1|0|0|1
100006812596361|0|0|1|1
100000444845050|0|4|6|10
576709158|0|1|0|1
100003138353046|1|0|2|3
100001654653138|1|0|0|1
100000030668888|1|0|0|1
100000259931452|1|0|0|1
100016952857839|0|1|0|1
100003684505780|0|0|1|1
100007777570112|0|0|2|2
100002456113666|0|0|1|1
100024661454964|1|0|0|1
100024585168855|0|0|1|1
100007589647493|0|0|1|1
663562335|0|1|0|1
100011514070667|0|1|0|1
100007650677355|0|0|1|1
1077744194|4|5|8|17
1672411226|6|8|14|28
100012314887037|0|1|1|2
100001052243545|1|0|0|1
100001175929831|0|1|1|2
100003044220275|0|0|1|1
1439872652|1|1|10|12
100022124597914|0|2|1|3
100007002634507|0|0|1|1
587794397|0|0|1|1
100000048046065|1|0|0|1
1763670509|1|0|0|1
100009474511697|0|1|0|1
100028190896568|1|0|0|1
100000020597676|0|1|0|1
100001702715646|1|0|0|1
100004794813899|0|1|0|1
100011329157279|1|0|2|3
100003287827238|1|0|0|1
1459897581|1|0|0|1
100007947406177|1|0|0|1
1340367557|0|1|0|1
100014185486931|0|0|1|1
100004257274584|0|0|1|1
100025173693803|0|1|0|1
1282430434|1|1|0|2
100001226161932|0|0|1|1
100002652631224|0|1|0|1
100004613021834|1|0|0|1
100000509710461|0|0|2|2
100000000813427|1|0|0|1
100011115485443|1|0|0|1
100010833334644|1|0|0|1
1439914003|1|0|0|1
100006295536717|2|1|0|3
100005634943059|0|0|2|2
100035527967168|0|0|1|1
100023852223805|2|3|4|9
100008730990061|0|0|1|1
100002337499427|0|0|1|1
100002085230887|0|0|2|2
100000552382815|0|0|1|1
100000535053161|2|0|0|2
655489319|0|0|1|1
100002185845083|2|2|0|4
100028010761229|0|0|1|1
1543082096|1|0|0|1
100016448853826|0|0|1|1
100035950097683|0|1|0|1
100026093317115|0|0|1|1
100006010549145|0|1|0|1
100002293645335|0|0|1|1
100022292654649|0|1|0|1
100007441478742|1|0|0|1
100029599059764|0|0|1|1
100000824911683|0|0|1|1
100003214927843|1|0|4|5
100004213091862|0|0|1|1
100000400306433|0|0|4|4
100002601450651|0|0|1|1
100000029356877|0|0|1|1
100000202325243|0|1|0|1
1588464699|1|0|0|1
100002893376398|0|0|1|1
100012991659185|0|0|1|1
100031799941530|0|0|2|2
100003604386370|2|0|1|3
100001191033424|0|0|1|1
100023878252178|0|0|1|1
1822989989|0|1|0|1
1439734220|1|0|0|1
100003871899698|0|0|1|1
100001779571622|0|0|1|1
100000589425352|2|0|5|7
100006825422446|1|0|0|1
1729374880|3|2|3|8
100025201980021|0|0|1|1
1563165477|0|1|1|2
100007095406703|0|0|1|1
1569984215|1|0|3|4
100008685163762|1|1|0|2
100006759705538|0|1|1|2
100001075815274|1|0|0|1
100036723734139|1|0|0|1
1159003122|1|0|0|1
100002415847645|0|0|1|1
100028559027319|0|0|1|1
100023706816690|0|0|1|1
100014294537642|4|3|6|13
1851140299|0|0|1|1
100000017702379|0|0|1|1
100020213405950|1|2|5|8
100033943279101|0|1|0|1
100023395756127|0|0|1|1
100028755501773|0|0|1|1
100000908312497|0|0|3|3
100000435791968|1|0|0|1
1603662565|0|0|1|1
1790132921|1|0|0|1
100001646200515|2|1|4|7
100024927068743|0|2|0|2
100001746475436|0|1|3|4
100000850366660|1|0|0|1
100012326204974|0|0|1|1
1191175113|0|0|1|1
100023392912808|1|1|0|2
100002091196549|0|1|0|1
100000085100014|0|1|0|1
100023784343987|1|0|5|6
100003513525540|0|1|0|1
100014369948961|0|1|1|2
100002980008305|1|0|0|1
100000759933323|0|0|1|1
100000052844103|1|0|2|3
1248144446|1|0|0|1
100027168781711|0|0|1|1
100028170949770|1|0|0|1
100000934249325|0|3|3|6
100026692101052|0|0|1|1
100011770082294|1|0|0|1
100023096513884|0|2|0|2
100000170400950|1|0|0|1
100001070638463|0|0|1|1
100000093558303|0|1|0|1
100032402136862|1|0|0|1
100016648510371|0|2|0|2
512578330|1|0|0|1
100013249457582|0|0|1|1
100004371579543|0|1|0|1
100008978530211|0|0|2|2
100035767592182|0|0|1|1
100034359542119|5|3|0|8
1393912418|0|0|1|1
100003001890119|0|0|1|1
100001140697208|1|0|0|1
100000213828574|0|0|1|1
100015754209877|0|0|1|1
100023372320462|0|1|0|1
100000576466496|0|0|1|1
100007218554972|0|0|1|1
100010662068088|0|1|0|1
100014202725752|0|1|0|1
100027628081421|0|1|0|1
100002571061146|1|1|0|2
100002579840261|0|0|4|4
100003549069927|1|0|0|1
100000614022580|0|1|0|1
100000571711579|1|0|0|1
100010147293155|0|1|0|1
100010324595602|0|0|3|3
1082623510|0|0|1|1
1712540363|0|1|0|1
100009953437460|0|0|1|1
100000542747841|1|0|0|1
100000808382616|0|1|0|1
1726570113|0|4|0|4
100014659326994|2|0|3|5
100032198355989|0|0|1|1
100028281530846|0|0|1|1
100027854674560|0|0|1|1
1784585336|0|2|0|2
1030147284|0|0|1|1
100029484483645|1|1|0|2
100011775635195|1|1|0|2
100003569962105|0|1|0|1
1558461383|1|2|0|3
100004456596045|0|0|1|1
100017956954595|1|0|0|1
100002233281339|0|0|1|1
100026946345427|0|1|2|3
100000908150278|1|2|1|4
100001425886879|0|2|2|4
100028051521580|1|0|0|1
100000731344183|0|0|1|1
1652109489|0|0|1|1
1624555646|1|1|0|2
100027882231417|0|0|4|4
1586075507|0|0|1|1
100034849194042|0|0|1|1
100000167876096|0|1|0|1
100005768838787|0|0|1|1
100006443834908|0|0|1|1
100001659271084|0|1|0|1
100022170463939|0|0|1|1
100033711092226|1|0|0|1
100015096403217|0|1|0|1
100000695541767|0|1|0|1
100019055163618|1|0|0|1
100000957555551|0|1|0|1
100000749072844|0|0|1|1
100000433183517|0|0|1|1
100008524172383|0|0|2|2
100034721262316|0|0|1|1
100003988609866|0|1|0|1
100004447771637|1|2|0|3
1197953614|2|0|0|2
100008705612333|0|0|3|3
100034653522773|0|0|1|1
100014055826326|1|1|2|4
100000402235929|0|0|1|1
100028085315965|1|1|0|2
100001985444867|1|0|0|1
100012079068900|0|0|1|1
100018380979649|0|0|2|2
1100377688|1|1|1|3
100000039542834|0|0|1|1
100000035358885|1|0|0|1
100000289284366|0|1|0|1
100000918017690|3|0|4|7
100002075844907|0|1|0|1
100034988687264|1|0|0|1
100000010192440|0|0|1|1
100002600898319|0|0|1|1
100003764546783|1|0|0|1
100001631786233|0|1|0|1
100024758810297|0|0|1|1
100009865150084|0|1|0|1
100002070975780|0|0|1|1
100003230901183|0|0|1|1
1330640678|1|0|0|1
100011674735032|1|0|0|1
100013433916217|1|0|0|1
100022775440499|0|0|1|1
100001745262553|0|0|1|1
100006352051676|0|1|0|1
100023092913099|0|0|1|1
100020450646927|0|0|1|1
100006674527124|7|4|3|14
100004238130177|1|1|0|2
100023174240508|0|0|1|1
100010757357661|2|1|0|3
1842661360|0|1|0|1
100033547598222|0|0|1|1
100007211443168|0|1|0|1
100010136834860|0|1|1|2
100000707685850|0|1|0|1
100004903993153|0|1|0|1
100022169083160|1|0|0|1
100026447930927|0|0|1|1
100036410167338|1|3|5|9
1495620844|1|0|2|3
1416295884|1|0|0|1
1311038208|0|0|1|1
100017037679258|0|0|1|1
100004101890528|0|0|1|1
100005899273086|0|0|1|1
100000961853640|4|0|1|5
100028069576713|0|0|15|15
100018378101578|0|0|1|1
1796177078|1|0|0|1
1617446371|0|1|0|1
100000140444467|1|1|0|2
100014225224090|1|1|1|3
100006975903965|1|0|0|1
100004602282997|0|0|12|12
100010331283533|1|0|1|2
100019117336281|0|1|0|1
100034412779010|0|0|1|1
